,Well,Fluor,Target,Content,Sample,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,SYBR,folA,Unkn,gAT-114,19.56,19.56,0.000,,,,0.00000,60.0,
,B02,SYBR,folA,Unkn,gAT-114,19.51,19.51,0.000,,,,0.00000,60.0,
,B03,SYBR,folA,Unkn,gAT-114,19.23,19.23,0.000,,,,0.00000,60.0,
,B04,SYBR,folA,Unkn,gAT-255,24.39,24.39,0.000,,,,0.00000,60.0,
,B05,SYBR,folA,Unkn,gAT-255,25.17,25.17,0.000,,,,0.00000,60.0,
,B06,SYBR,folA,Unkn,gAT-255,25.02,25.02,0.000,,,,0.00000,60.0,
,B07,SYBR,folA,Unkn,gAT-263,22.69,22.69,0.000,,,,0.00000,60.0,
,B08,SYBR,folA,Unkn,gAT-263,23.80,23.80,0.000,,,,0.00000,60.0,
,B09,SYBR,folA,Unkn,gAT-263,24.18,24.18,0.000,,,,0.00000,60.0,
,B10,SYBR,folA,Unkn,no_temp,33.28,33.28,0.000,,,,0.00000,60.0,
,B11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C01,SYBR,folA,Unkn,gAT-114,19.49,19.49,0.000,,,,0.00000,60.0,
,C02,SYBR,folA,Unkn,gAT-114,19.49,19.49,0.000,,,,0.00000,60.0,
,C03,SYBR,folA,Unkn,gAT-114,19.39,19.39,0.000,,,,0.00000,60.0,
,C04,SYBR,folA,Unkn,gAT-255,25.04,25.04,0.000,,,,0.00000,60.0,
,C05,SYBR,folA,Unkn,gAT-255,25.10,25.10,0.000,,,,0.00000,60.0,
,C06,SYBR,folA,Unkn,gAT-255,24.77,24.77,0.000,,,,0.00000,60.0,
,C07,SYBR,folA,Unkn,gAT-263,22.88,22.88,0.000,,,,0.00000,60.0,
,C08,SYBR,folA,Unkn,gAT-263,23.55,23.55,0.000,,,,0.00000,60.0,
,C09,SYBR,folA,Unkn,gAT-263,24.04,24.04,0.000,,,,0.00000,60.0,
,C10,SYBR,folA,Unkn,no_temp,33.17,33.17,0.000,,,,0.00000,60.0,
,C11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D01,SYBR,hcaT,Unkn,gAT-114,21.75,21.75,0.000,,,,0.00000,60.0,
,D02,SYBR,hcaT,Unkn,gAT-114,21.41,21.41,0.000,,,,0.00000,60.0,
,D03,SYBR,hcaT,Unkn,gAT-114,21.38,21.38,0.000,,,,0.00000,60.0,
,D04,SYBR,hcaT,Unkn,gAT-255,21.19,21.19,0.000,,,,0.00000,60.0,
,D05,SYBR,hcaT,Unkn,gAT-255,21.35,21.35,0.000,,,,0.00000,60.0,
,D06,SYBR,hcaT,Unkn,gAT-255,21.55,21.55,0.000,,,,0.00000,60.0,
,D07,SYBR,hcaT,Unkn,gAT-263,21.07,21.07,0.000,,,,0.00000,60.0,
,D08,SYBR,hcaT,Unkn,gAT-263,22.07,22.07,0.000,,,,0.00000,60.0,
,D09,SYBR,hcaT,Unkn,gAT-263,22.75,22.75,0.000,,,,0.00000,60.0,
,D10,SYBR,hcaT,Unkn,no_temp,,0.00,0.000,,,0.00000,0.00000,60.0,
,D11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E01,SYBR,hcaT,Unkn,gAT-114,21.78,21.78,0.000,,,,0.00000,60.0,
,E02,SYBR,hcaT,Unkn,gAT-114,21.24,21.24,0.000,,,,0.00000,60.0,
,E03,SYBR,hcaT,Unkn,gAT-114,21.22,21.22,0.000,,,,0.00000,60.0,
,E04,SYBR,hcaT,Unkn,gAT-255,21.11,21.11,0.000,,,,0.00000,60.0,
,E05,SYBR,hcaT,Unkn,gAT-255,21.32,21.32,0.000,,,,0.00000,60.0,
,E06,SYBR,hcaT,Unkn,gAT-255,21.31,21.31,0.000,,,,0.00000,60.0,
,E07,SYBR,hcaT,Unkn,gAT-263,20.98,20.98,0.000,,,,0.00000,60.0,
,E08,SYBR,hcaT,Unkn,gAT-263,22.09,22.09,0.000,,,,0.00000,60.0,
,E09,SYBR,hcaT,Unkn,gAT-263,22.69,22.69,0.000,,,,0.00000,60.0,
,E10,SYBR,hcaT,Unkn,no_temp,,0.00,0.000,,,0.00000,0.00000,60.0,
,E11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F01,SYBR,hcaT,Unkn,gAT-114,21.91,21.91,0.000,,,,0.00000,60.0,
,F02,SYBR,hcaT,Unkn,gAT-114,21.26,21.26,0.000,,,,0.00000,60.0,
,F03,SYBR,hcaT,Unkn,gAT-114,21.28,21.28,0.000,,,,0.00000,60.0,
,F04,SYBR,hcaT,Unkn,gAT-255,21.22,21.22,0.000,,,,0.00000,60.0,
,F05,SYBR,hcaT,Unkn,gAT-255,21.68,21.68,0.000,,,,0.00000,60.0,
,F06,SYBR,hcaT,Unkn,gAT-255,21.37,21.37,0.000,,,,0.00000,60.0,
,F07,SYBR,hcaT,Unkn,gAT-263,21.17,21.17,0.000,,,,0.00000,60.0,
,F08,SYBR,hcaT,Unkn,gAT-263,22.12,22.12,0.000,,,,0.00000,60.0,
,F09,SYBR,hcaT,Unkn,gAT-263,23.07,23.07,0.000,,,,0.00000,60.0,
,F10,SYBR,hcaT,Unkn,no_temp,,0.00,0.000,,,0.00000,0.00000,60.0,
,F11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G01,SYBR,gDNA,Unkn,gAT-114,25.79,25.79,0.000,,,,0.00000,60.0,
,G02,SYBR,gDNA,Unkn,gAT-114,25.05,25.05,0.000,,,,0.00000,60.0,
,G03,SYBR,gDNA,Unkn,gAT-114,25.72,25.72,0.000,,,,0.00000,60.0,
,G04,SYBR,gDNA,Unkn,gAT-255,24.42,24.42,0.000,,,,0.00000,60.0,
,G05,SYBR,gDNA,Unkn,gAT-255,25.39,25.39,0.000,,,,0.00000,60.0,
,G06,SYBR,gDNA,Unkn,gAT-255,25.71,25.71,0.000,,,,0.00000,60.0,
,G07,SYBR,gDNA,Unkn,gAT-263,25.28,25.28,0.000,,,,0.00000,60.0,
,G08,SYBR,gDNA,Unkn,gAT-263,26.08,26.08,0.000,,,,0.00000,60.0,
,G09,SYBR,gDNA,Unkn,gAT-263,24.82,24.82,0.000,,,,0.00000,60.0,
,G10,SYBR,gDNA,Unkn,no_temp,35.48,35.48,0.000,,,,0.00000,60.0,
,G11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H01,SYBR,gDNA,Unkn,gAT-114,25.87,25.87,0.000,,,,0.00000,60.0,
,H02,SYBR,gDNA,Unkn,gAT-114,25.09,25.09,0.000,,,,0.00000,60.0,
,H03,SYBR,gDNA,Unkn,gAT-114,25.78,25.78,0.000,,,,0.00000,60.0,
,H04,SYBR,gDNA,Unkn,gAT-255,24.43,24.43,0.000,,,,0.00000,60.0,
,H05,SYBR,gDNA,Unkn,gAT-255,25.70,25.70,0.000,,,,0.00000,60.0,
,H06,SYBR,gDNA,Unkn,gAT-255,25.64,25.64,0.000,,,,0.00000,60.0,
,H07,SYBR,gDNA,Unkn,gAT-263,25.05,25.05,0.000,,,,0.00000,60.0,
,H08,SYBR,gDNA,Unkn,gAT-263,25.99,25.99,0.000,,,,0.00000,60.0,
,H09,SYBR,gDNA,Unkn,gAT-263,24.76,24.76,0.000,,,,0.00000,60.0,
,H10,SYBR,gDNA,Unkn,no_temp,34.90,34.90,0.000,,,,0.00000,60.0,
,H11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I01,SYBR,gDNA,Unkn,gAT-114,26.15,26.15,0.000,,,,0.00000,60.0,
,I02,SYBR,gDNA,Unkn,gAT-114,25.15,25.15,0.000,,,,0.00000,60.0,
,I03,SYBR,gDNA,Unkn,gAT-114,25.81,25.81,0.000,,,,0.00000,60.0,
,I04,SYBR,gDNA,Unkn,gAT-255,24.40,24.40,0.000,,,,0.00000,60.0,
,I05,SYBR,gDNA,Unkn,gAT-255,25.64,25.64,0.000,,,,0.00000,60.0,
,I06,SYBR,gDNA,Unkn,gAT-255,25.55,25.55,0.000,,,,0.00000,60.0,
,I07,SYBR,gDNA,Unkn,gAT-263,25.14,25.14,0.000,,,,0.00000,60.0,
,I08,SYBR,gDNA,Unkn,gAT-263,25.88,25.88,0.000,,,,0.00000,60.0,
,I09,SYBR,gDNA,Unkn,gAT-263,24.90,24.90,0.000,,,,0.00000,60.0,
,I10,SYBR,gDNA,Unkn,no_temp,37.20,37.20,0.000,,,,0.00000,60.0,
,I11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J01,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J02,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J03,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J04,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J05,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J06,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J07,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J08,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J09,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J10,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K01,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K02,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K03,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K04,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K05,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K06,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K07,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K08,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K09,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K10,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L01,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L02,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L03,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L04,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L05,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L06,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L07,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L08,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L09,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L10,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M01,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M02,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M03,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M04,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M05,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M06,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M07,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M08,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M09,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M10,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M22,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M23,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M24,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N01,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
